Channel Title,Channel Username,ID,Message,Date,Media Path
ETHIO-AMERICAN MEDICAL TRAININGS( CPD ) & HEALTH CONSULTANCY CENTER,@EAHCI,2388,"Notice💥

 We would like to inform you that  Obstetric Ultrasound Training to be given at Addis Ababa has been postponed for the next week ( October 13 /2024) due to the Irrecha Holiday.",2024-10-05 09:52:07+00:00,
ETHIO-AMERICAN MEDICAL TRAININGS( CPD ) & HEALTH CONSULTANCY CENTER,@EAHCI,2387,"#Dental_Extraction_&_Care_Training💥
                     @ Hawassa 
👉መስከረም 27/ 2017ጀምሮ  ይሰጣል። 
---------------------------------------------

✔አዘጋጅ-Ethio-American CPD center in collaboration with selected hospitals .

Call & Register  

   ☎️ 0965412222  Dr Shalom
   ☎️0968670067
   ☎️0965410000   Ekram
   ☎️0942404444

🏃For more info .follow us on telegram :-
t.me/eahci",2024-10-04 13:29:53+00:00,photos\@EAHCI_2387.jpg
ETHIO-AMERICAN MEDICAL TRAININGS( CPD ) & HEALTH CONSULTANCY CENTER,@EAHCI,2386,"#💥እሁድ_Addis_Ababa_Ultrasound_Training)#CPD_ስልጠናን_ከምርጥ_ክህሎት_ጋር_ያስተሳስሩ )
 #Addis Ababa  መስከረም 26  /2017 ጀምሮ ለ 1 ሳምንት ይሰጣል ።(ከክህሎቱ ባሻገር የ15CEU CPD Certificate  እንሰጣለን።)
----------------------------------------
⏩ሰልጣኞች-Medical Doctors , Medical Rad.Technologists , HO, Bsc ,& Msc Midwifery.
⏩አሰልጣኞች-Rad & OBGYN specialists .

✔አዘጋጅ-Ethio-American CPD center in collaboration with selected hospitals .
Call & Register 
📞Dr shalom 0965412222  
📞Selam        0968670067
📞Tinbit         0942404444
📞Ekram        0965410000
 📳Office        0941404444 
 📳 Office       0462124400
🏃For more info .follow us on telegram :-
t.me/eahci",2024-10-04 10:17:03+00:00,photos\@EAHCI_2386.jpg
ETHIO-AMERICAN MEDICAL TRAININGS( CPD ) & HEALTH CONSULTANCY CENTER,@EAHCI,2385,"💥ነገ ይጀምራል CPD_training_ለሁሉም_ጤና_ባለሞያዎች!!!
✔️#Title_Antimicrobial Drug Resistance 
# መስከረም 25/2017 ጀምሮ  ይሰጣል።
#ለጤና_ባለሞያዎች_Oromia_Amhara_AA_Harari_SNNPR_Sidama_ላላችሁ።
--------------------------------------------
📱0965410000
📳0968670067
📱0965412222
📳0942404444
📳0941404444  
📳0462124400
    🚩Organized By-(Ethio-American CPD center & Health Consultancy.)
🏃We Are Committed To Excellence In Medical Trainings ❗
-join our telegram channel 
T.me/eahci",2024-10-04 09:57:52+00:00,photos\@EAHCI_2385.jpg
ETHIO-AMERICAN MEDICAL TRAININGS( CPD ) & HEALTH CONSULTANCY CENTER,@EAHCI,2384,"💥CPD_training_ለሁሉም_ጤና_ባለሞያዎች!!!
✔️#Title_Antimicrobial Drug Resistance 
#
መስከረም 24/2017 ጀምሮ  ይሰጣል።
#ለጤና_ባለሞያዎች_Oromia_Amhara_AA_Harari_SNNPR_Sidama_ላላችሁ።
--------------------------------------------
📞0965410000  Ekram
📞0968670067  Selam
📞0965412222  Dr.Shalom
📞0942404444
📞0941404444  
📳0462124400  Office 
    🚩Organized By-(Ethio-American CPD center & Health Consultancy.)
🏃We Are Committed To Excellence In Medical Trainings ❗️
-join our telegram channel 
T.me/eahci",2024-10-03 06:46:52+00:00,photos\@EAHCI_2384.jpg
ETHIO-AMERICAN MEDICAL TRAININGS( CPD ) & HEALTH CONSULTANCY CENTER,@EAHCI,2383,,2024-10-02 12:03:42+00:00,
ETHIO-AMERICAN MEDICAL TRAININGS( CPD ) & HEALTH CONSULTANCY CENTER,@EAHCI,2382,"#Monitoring_And_Evaluation_Training 
💥 Hawassa & Addis Ababa 
💥Take Training on Blended mode 
💥Trainers - M & E Guest Experts 
💥Call📞0965412222 Dr.Shalom
💥Only for few trainees
✍️Accredited",2024-10-02 09:13:24+00:00,photos\@EAHCI_2382.jpg
ETHIO-AMERICAN MEDICAL TRAININGS( CPD ) & HEALTH CONSULTANCY CENTER,@EAHCI,2379,"#💥እሁድ_Addis_Ababa_Ultrasound_Training)#CPD_ስልጠናን_ከምርጥ_ክህሎት_ጋር_ያስተሳስሩ )
 #Addis Ababa  መስከረም 26  /2017 ጀምሮ ለ 1 ሳምንት ይሰጣል ።(ከክህሎቱ ባሻገር የ15CEU CPD Certificate  እንሰጣለን።)
----------------------------------------
⏩ሰልጣኞች-Medical Doctors , Medical Rad.Technologists , HO, Bsc ,& Msc Midwifery.
⏩አሰልጣኞች-Rad & OBGYN specialists .

✔አዘጋጅ-Ethio-American CPD center in collaboration with selected hospitals .
Call & Register 
📞Dr shalom 0965412222  
📞Selam        0968670067
📞Tinbit         0942404444
📞Ekram        0965410000
 📳Office        0941404444 
 📳 Office       0462124400
🏃For more info .follow us on telegram :-
t.me/eahci",2024-10-01 09:03:45+00:00,photos\@EAHCI_2379.jpg
ETHIO-AMERICAN MEDICAL TRAININGS( CPD ) & HEALTH CONSULTANCY CENTER,@EAHCI,2378,"💥 CPD_training_ለሁሉም_ጤና_ባለሞያዎች!!!
✔️#Title_Antimicrobial Drug Resistance 
# መስከረም 24/2017 ጀምሮ  ይሰጣል።
#ለጤና_ባለሞያዎች_Oromia_Amhara_AA_Harari_SNNPR_Sidama_ላላችሁ።
--------------------------------------------
📱0968670067
📳0942404444  Tinbit
📱0965410000
📳0965412222 
📳0941404444  
📳0462124400
    🚩Organized By-(Ethio-American CPD center & Health Consultancy.)
🏃We Are Committed To Excellence In Medical Trainings ❗
-join our telegram channel 
T.me/eahci",2024-09-30 07:47:20+00:00,photos\@EAHCI_2378.jpg
ETHIO-AMERICAN MEDICAL TRAININGS( CPD ) & HEALTH CONSULTANCY CENTER,@EAHCI,2377,"💥 እንዳያመልጥዎ‼️💥
👉  ፈጥነው ይመዝገቡ !!

Dental Extraction & Care Training 
                     @ Hawassa 
👉መስከረም 26/ 2017ጀምሮ  ይሰጣል። 
---------------------------------------------

✔አዘጋጅ-Ethio-American CPD center in collaboration with selected hospitals .

Call & Register  

   ☎️ 0968670067
   ☎️0965410000
   ☎️0941404444
   ☎️0965412222 

🏃For more info .follow us on telegram :-
t.me/eahci",2024-09-30 07:17:37+00:00,photos\@EAHCI_2377.jpg
